2017-04-07 08:18:28.802 INFO  com.html.service.HtmlService - JSESSIONID--->D7CB8492C708CD3B8EA043D548F24D90
2017-04-07 08:18:29.255 INFO  com.html.service.HtmlService - action--->login;jsessionid=D7CB8492C708CD3B8EA043D548F24D90
2017-04-07 08:18:29.265 INFO  com.html.service.HtmlService - lt--->_cF3F8BC52-12E4-9B25-72B3-5E48E60A7DB1_k2E54081F-3146-4F65-2E5A-B792FC85D21C
2017-04-07 08:18:29.267 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:18:29.282 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:18:29.287 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:18:30.862 INFO  com.html.service.Tess4jCode - 识别图片的结果：[VVTN]
2017-04-07 08:18:31.004 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[VVTN],JSESSIONID的值:[D7CB8492C708CD3B8EA043D548F24D90]
2017-04-07 08:18:45.707 INFO  com.html.service.HtmlService - JSESSIONID--->61453EAECE9A77157D0E0F67A2F682B6
2017-04-07 08:18:46.439 INFO  com.html.service.HtmlService - action--->login;jsessionid=61453EAECE9A77157D0E0F67A2F682B6
2017-04-07 08:18:46.450 INFO  com.html.service.HtmlService - lt--->_cBC9AE8FD-4190-A0EA-347D-0C82DD8C64F9_k1F166E01-F99D-8390-3AD2-13F8F84EBD96
2017-04-07 08:18:46.451 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:18:46.553 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:18:46.561 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:18:47.849 INFO  com.html.service.Tess4jCode - 识别图片的结果：[UCSa]
2017-04-07 08:18:48.011 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[UCSa],JSESSIONID的值:[61453EAECE9A77157D0E0F67A2F682B6]
2017-04-07 08:19:00.144 INFO  com.html.service.HtmlService - JSESSIONID--->E3C5C6934B8F936D2DCE549FF14D3B9A
2017-04-07 08:19:00.591 INFO  com.html.service.HtmlService - action--->login;jsessionid=E3C5C6934B8F936D2DCE549FF14D3B9A
2017-04-07 08:19:00.603 INFO  com.html.service.HtmlService - lt--->_c90B9191F-1B64-E863-C647-D6B7CC1B3248_k7AC52BC6-F40B-0AB0-55C5-7C5C11D34B1F
2017-04-07 08:19:00.604 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:19:00.615 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:19:00.619 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:19:01.922 INFO  com.html.service.Tess4jCode - 识别图片的结果：[HSVZ]
2017-04-07 08:19:02.098 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[HSVZ],JSESSIONID的值:[E3C5C6934B8F936D2DCE549FF14D3B9A]
2017-04-07 08:19:09.446 INFO  com.html.service.HtmlService - JSESSIONID--->4025E97B5E5AB5CCBAA68215D83606F3
2017-04-07 08:19:09.899 INFO  com.html.service.HtmlService - action--->login;jsessionid=4025E97B5E5AB5CCBAA68215D83606F3
2017-04-07 08:19:09.908 INFO  com.html.service.HtmlService - lt--->_cC8681B3D-C3FD-6613-47C2-8C49A7AE8BAA_kDEAE4C81-1682-EECC-BA9C-5B754B10B47F
2017-04-07 08:19:09.909 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:19:09.942 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:19:09.948 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:19:11.588 INFO  com.html.service.Tess4jCode - 识别图片的结果：[MGTLJ]
2017-04-07 08:19:11.752 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[MGTLJ],JSESSIONID的值:[4025E97B5E5AB5CCBAA68215D83606F3]
2017-04-07 08:19:18.653 INFO  com.html.service.HtmlService - JSESSIONID--->1152608179AB544DDA758C2A0B7F474E
2017-04-07 08:19:19.006 INFO  com.html.service.HtmlService - action--->login;jsessionid=1152608179AB544DDA758C2A0B7F474E
2017-04-07 08:19:19.019 INFO  com.html.service.HtmlService - lt--->_c771BD1C7-4869-F485-FB5B-3981539ACD9F_kF1286503-C92A-FB67-36F2-985FA31058C3
2017-04-07 08:19:19.020 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:19:19.031 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:19:19.035 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:19:20.165 INFO  com.html.service.Tess4jCode - 识别图片的结果：[RBSY]
